Date,County,Town,Crop,Lon,Lat
14-Apr-09,Wiltshire,Avebury,Oilseed rape,51.426769,-1.853218
19-Apr-09,Wiltshire,West Kennett,Oilseed rape,51.425437,-1.853256
21-Apr-09,Wiltshire,West Kennett,Oilseed rape,51.425437,-1.853256
23-Apr-09,Wiltshire,Avebury,Oilseed rape,51.426769,-1.853218
24-Apr-09,Wiltshire,Morgan's Hill,Oilseed rape,51.40333,-1.95974
25-Apr-09,Wiltshire,Liddington Castle,Oilseed rape,51.516007,-1.700306
29-Apr-09,Wiltshire,Roundway Hill,Oilseed rape,51.367748,-1.978504
03-May-09,Wiltshire,East Kennett,Oilseed rape,51.406727,-1.831316
04-May-09,Wiltshire,Clatford,Oilseed rape,51.404984,-1.770674
06-May-09,Wiltshire,All Cannings,Oilseed rape,51.355853,-1.89488
09-May-09,Wiltshire,Swindon,Oilseed rape,51.558418,-1.781985
10-May-09,Wiltshire,Roundway Devizes,Oilseed rape,51.36806,-1.980812
24-May-09,Wiltshire,Barbury Castle,Barley,51.485458,-1.786808
24-May-09,Wiltshire,Bishops Cannings,,51.378264,-1.9485
24-May-09,Wiltshire,Windmill Hill,,51.441528,-1.876216
29-May-09,Oxfordshire,Wayland's Smithy,Barley,51.566599,-1.595996
01-Jun-09,Wiltshire,Beckhampton,Barley,51.426769,-1.853218
02-Jun-09,Wiltshire,Milk Hill,Barley,51.37716,-1.850559
02-Jun-09,Wiltshire,Milk Hill,Barley,51.37716,-1.850559
03-Jun-09,Wiltshire,Yatesbury,Barley,51.443646,-1.910184
05-Jun-09,Wiltshire,Chiseldon,Barley,51.514499,-1.73567
08-Jun-09,Wiltshire,Bishops Cannings,Barley,51.378264,-1.9485
12-Jun-09,Oxfordshire,Wayland's Smithy,Barley,51.566599,-1.595996
12-Jun-09,Wiltshire,Yatesbury,Barley,51.443646,-1.910184
13-Jun-09,Wiltshire,Tawesmead Copse,Wheat,51.359303,-1.84243
13-Jun-09,Wiltshire,Milk Hill,Barley,51.37716,-1.850559
14-Jun-09,Wiltshire,Barbury Castle,Wheat,51.485458,-1.786808
